,life_main,people_main,photos,relation,wall_posts,target
115,1.0,1.0,57.0,1.0,1.0,624.0
116,1.0,1.0,100.0,1.0,4.0,3188.0
117,6.0,2.0,94.0,2.0,86.0,908.0
118,1.0,1.0,311.0,1.0,610.0,601.0
119,1.0,1.0,85.0,1.0,288.0,1541.0
120,1.0,1.0,347.0,1.0,922.0,664.0
121,1.0,1.0,179.0,1.0,220.0,524.0
122,1.0,1.0,348.0,1.0,1585.0,585.0
123,1.0,1.0,12.0,1.0,91.0,534.0
124,1.0,1.0,441.0,1.0,582.0,430.0
125,1.0,1.0,204.0,1.0,340.0,1523.0
126,1.0,1.0,461.0,1.0,247.0,595.0
127,1.0,1.0,364.0,1.0,504.0,1573.0
128,1.0,1.0,494.0,1.0,608.0,1029.0
129,1.0,1.0,82.0,1.0,1122.0,1248.0
130,7.0,2.0,1163.0,5.0,2427.0,689.0
131,1.0,1.0,775.0,1.0,3890.0,398.0
132,1.0,6.0,1205.0,2.0,3972.0,3187.0
133,1.0,1.0,37.0,1.0,1.0,722.0
134,6.0,6.0,42.0,5.0,942.0,744.0
135,1.0,1.0,63.0,1.0,12.0,526.0
136,1.0,1.0,523.0,1.0,1741.0,760.0
137,4.0,3.0,144.0,2.0,2629.0,567.0
138,1.0,1.0,1003.0,1.0,2441.0,2362.0
139,1.0,1.0,869.0,1.0,9147.0,815.0
140,3.0,7.0,904.0,2.0,1307.0,516.0
141,1.0,1.0,353.0,5.0,983.0,508.0
142,1.0,1.0,1622.0,1.0,1703.0,663.0
143,7.0,1.0,947.0,2.0,2082.0,1412.0
144,1.0,1.0,486.0,1.0,2781.0,629.0
145,1.0,1.0,13.0,1.0,272.0,650.0
146,1.0,1.0,399.0,1.0,578.0,1100.0
147,1.0,1.0,2367.0,1.0,912.0,395.0
148,1.0,1.0,2481.0,1.0,794.0,673.0
149,1.0,1.0,203.0,1.0,219.0,585.0
150,1.0,1.0,1276.0,1.0,1997.0,3725.0
151,1.0,1.0,3754.0,5.0,2417.0,804.0
152,1.0,1.0,2285.0,1.0,808.0,883.0
153,1.0,1.0,7.0,1.0,3.0,791.0
154,1.0,1.0,5.0,1.0,136.0,619.0
155,6.0,2.0,17.0,2.0,38.0,553.0
156,3.0,1.0,5.0,1.0,21.0,346.0
157,1.0,1.0,218.0,1.0,923.0,546.0
158,1.0,1.0,627.0,1.0,523.0,905.0
159,6.0,3.0,137.0,1.0,522.0,744.0
160,4.0,2.0,64.0,5.0,1611.0,359.0
161,1.0,1.0,255.0,2.0,861.0,554.0
162,7.0,2.0,239.0,3.0,881.0,292.0
163,1.0,1.0,464.0,1.0,642.0,588.0
164,1.0,1.0,1284.0,1.0,268.0,498.0
165,1.0,1.0,77.0,1.0,4.0,445.0
166,2.0,3.0,35.0,1.0,28.0,346.0
167,7.0,2.0,1617.0,1.0,3977.0,417.0
168,1.0,1.0,1.0,1.0,3.0,393.0
169,1.0,1.0,131.0,1.0,704.0,921.0
170,1.0,1.0,3.0,1.0,6.0,431.0
171,1.0,1.0,285.0,1.0,878.0,522.0
172,1.0,1.0,75.0,1.0,415.0,750.0
173,1.0,1.0,80.0,1.0,29.0,780.0
174,7.0,7.0,55.0,1.0,11.0,634.0
175,1.0,1.0,161.0,1.0,275.0,799.0
176,2.0,2.0,520.0,4.0,444.0,396.0
177,1.0,1.0,1106.0,1.0,3573.0,2708.0
178,8.0,3.0,651.0,5.0,640.0,564.0
179,1.0,1.0,118.0,1.0,776.0,424.0
180,1.0,1.0,280.0,1.0,130.0,1477.0
181,7.0,7.0,382.0,1.0,828.0,648.0
182,7.0,3.0,55.0,2.0,52.0,306.0
183,1.0,1.0,1036.0,1.0,1829.0,1016.0
184,1.0,1.0,178.0,1.0,413.0,289.0
185,7.0,7.0,107.0,5.0,1984.0,1162.0
186,1.0,1.0,20.0,1.0,759.0,712.0
187,1.0,1.0,130.0,1.0,464.0,509.0
188,1.0,1.0,353.0,1.0,608.0,703.0
189,1.0,1.0,3448.0,1.0,3721.0,1371.0
190,1.0,1.0,61.0,1.0,19.0,480.0
191,1.0,1.0,305.0,1.0,139.0,1630.0
192,1.0,1.0,986.0,1.0,2276.0,479.0
193,1.0,1.0,418.0,1.0,1661.0,494.0
194,1.0,1.0,753.0,1.0,2252.0,787.0
195,1.0,1.0,23.0,1.0,23.0,295.0
196,1.0,1.0,101.0,1.0,375.0,464.0
197,1.0,1.0,42.0,1.0,2198.0,406.0
198,1.0,1.0,468.0,1.0,642.0,679.0
199,1.0,1.0,527.0,1.0,888.0,288.0
200,1.0,1.0,171.0,1.0,1051.0,1204.0
201,1.0,1.0,223.0,1.0,513.0,762.0
202,1.0,1.0,13.0,1.0,73.0,810.0
203,1.0,1.0,65.0,2.0,101.0,638.0
204,1.0,1.0,45.0,5.0,1775.0,602.0
205,1.0,1.0,192.0,1.0,573.0,399.0
206,1.0,1.0,1177.0,1.0,747.0,426.0
207,1.0,1.0,24.0,1.0,630.0,411.0
208,7.0,1.0,2252.0,1.0,760.0,1040.0
209,1.0,1.0,135.0,1.0,425.0,443.0
210,1.0,1.0,72.0,1.0,982.0,700.0
211,1.0,1.0,1245.0,1.0,2376.0,1133.0
212,1.0,1.0,712.0,1.0,1159.0,395.0
213,1.0,1.0,1511.0,1.0,1201.0,544.0
214,1.0,1.0,1815.0,1.0,717.0,906.0
215,1.0,3.0,487.0,5.0,6075.0,786.0
216,1.0,1.0,261.0,1.0,2350.0,752.0
217,1.0,1.0,3626.0,1.0,3636.0,943.0
218,1.0,1.0,62.0,5.0,203.0,502.0
219,1.0,1.0,108.0,1.0,122.0,518.0
220,1.0,1.0,952.0,1.0,800.0,1901.0
221,6.0,2.0,1727.0,1.0,3717.0,670.0
222,1.0,1.0,4964.0,1.0,3113.0,1009.0
223,1.0,1.0,78.0,1.0,1525.0,1027.0
224,1.0,1.0,736.0,1.0,2784.0,931.0
225,1.0,1.0,239.0,1.0,645.0,749.0
226,1.0,1.0,386.0,1.0,477.0,404.0
227,6.0,2.0,1869.0,1.0,2650.0,721.0
228,1.0,1.0,96.0,1.0,355.0,359.0
229,1.0,1.0,652.0,1.0,815.0,509.0
230,1.0,1.0,500.0,1.0,802.0,771.0
231,1.0,1.0,1134.0,1.0,572.0,809.0
232,1.0,1.0,1191.0,1.0,955.0,532.0
233,1.0,1.0,7.0,1.0,1.0,351.0
234,1.0,1.0,9.0,1.0,219.0,728.0
235,1.0,1.0,326.0,1.0,2251.0,359.0
236,1.0,1.0,55.0,1.0,729.0,567.0
237,1.0,1.0,64.0,1.0,440.0,817.0
238,1.0,1.0,1835.0,1.0,1899.0,453.0
239,1.0,1.0,741.0,1.0,1271.0,510.0
240,1.0,1.0,84.0,1.0,311.0,561.0
241,1.0,1.0,104.0,1.0,628.0,529.0
242,1.0,1.0,17.0,1.0,31.0,642.0
243,1.0,1.0,120.0,1.0,418.0,611.0
244,8.0,4.0,25.0,7.0,8.0,264.0
245,1.0,1.0,102.0,1.0,4574.0,2022.0
246,1.0,1.0,4897.0,1.0,650.0,634.0
247,1.0,1.0,1179.0,1.0,2040.0,1659.0
248,1.0,1.0,1552.0,1.0,417.0,559.0
249,1.0,1.0,1879.0,6.0,703.0,410.0
250,1.0,1.0,61.0,1.0,200.0,389.0
251,1.0,1.0,209.0,1.0,894.0,493.0
252,1.0,1.0,1456.0,5.0,4506.0,330.0
253,2.0,1.0,166.0,2.0,839.0,616.0
254,1.0,1.0,457.0,1.0,196.0,590.0
255,1.0,1.0,498.0,1.0,201.0,988.0
256,1.0,6.0,21.0,5.0,592.0,792.0
257,1.0,1.0,24.0,1.0,213.0,485.0
258,1.0,1.0,12.0,1.0,10.0,260.0
259,2.0,3.0,80.0,2.0,139.0,178.0
260,1.0,1.0,4913.0,1.0,1926.0,307.0
261,1.0,1.0,172.0,1.0,88.0,166.0
262,7.0,7.0,126.0,1.0,601.0,562.0
263,7.0,3.0,10.0,7.0,45.0,262.0
264,6.0,7.0,742.0,7.0,263.0,297.0
265,1.0,1.0,426.0,1.0,445.0,468.0
266,1.0,1.0,239.0,1.0,736.0,402.0
267,1.0,1.0,8.0,1.0,2.0,138.0
268,2.0,3.0,258.0,5.0,25169.0,394.0
269,1.0,1.0,19.0,1.0,30.0,396.0
270,1.0,3.0,203.0,2.0,137.0,1084.0
271,1.0,1.0,118.0,1.0,969.0,449.0
272,1.0,1.0,435.0,1.0,497.0,480.0
273,2.0,2.0,298.0,5.0,1337.0,560.0
274,1.0,1.0,560.0,1.0,214.0,183.0
275,7.0,3.0,2132.0,3.0,487.0,655.0
276,1.0,1.0,7.0,1.0,4.0,194.0
277,1.0,1.0,2.0,1.0,9.0,331.0
278,1.0,1.0,272.0,1.0,2189.0,321.0
279,1.0,1.0,483.0,5.0,457.0,374.0
280,1.0,1.0,21.0,1.0,70.0,375.0
281,1.0,1.0,188.0,1.0,263.0,362.0
282,1.0,1.0,89.0,1.0,948.0,309.0
283,1.0,1.0,487.0,1.0,1154.0,414.0
284,1.0,1.0,695.0,8.0,3148.0,389.0
285,1.0,1.0,64.0,1.0,183.0,223.0
286,1.0,1.0,193.0,5.0,1043.0,433.0
287,1.0,1.0,374.0,2.0,14706.0,279.0
288,1.0,1.0,388.0,1.0,993.0,982.0
289,1.0,1.0,289.0,1.0,1053.0,478.0
290,1.0,1.0,434.0,1.0,321.0,850.0
291,1.0,1.0,232.0,1.0,2140.0,489.0
292,1.0,1.0,245.0,1.0,1137.0,827.0
293,1.0,1.0,647.0,1.0,1775.0,830.0
294,7.0,7.0,56.0,5.0,1627.0,497.0
295,1.0,1.0,53.0,1.0,32.0,836.0
296,1.0,1.0,452.0,1.0,720.0,409.0
297,1.0,1.0,13.0,1.0,22.0,273.0
298,1.0,1.0,601.0,1.0,1723.0,539.0
299,1.0,1.0,314.0,5.0,262.0,215.0
300,1.0,1.0,1314.0,1.0,298.0,323.0
301,1.0,7.0,173.0,1.0,661.0,365.0
302,7.0,6.0,712.0,5.0,1272.0,331.0
303,1.0,1.0,28.0,1.0,71.0,1401.0
304,1.0,1.0,317.0,1.0,549.0,364.0
305,1.0,1.0,6.0,1.0,714.0,312.0
306,1.0,1.0,194.0,1.0,36.0,273.0
307,1.0,1.0,1830.0,1.0,1313.0,669.0
308,1.0,1.0,569.0,1.0,1569.0,619.0
309,1.0,1.0,139.0,1.0,784.0,268.0
310,1.0,1.0,152.0,1.0,107.0,367.0
311,1.0,1.0,147.0,1.0,5.0,367.0
312,1.0,1.0,135.0,1.0,1196.0,1382.0
313,1.0,1.0,1060.0,1.0,150.0,555.0
314,1.0,1.0,58.0,1.0,150.0,494.0
315,1.0,1.0,281.0,1.0,363.0,280.0
316,1.0,1.0,217.0,1.0,213.0,886.0
317,1.0,1.0,1738.0,1.0,4813.0,3306.0
318,1.0,1.0,870.0,1.0,1344.0,336.0
319,8.0,7.0,42.0,1.0,2162.0,2758.0
320,1.0,1.0,92.0,1.0,1471.0,772.0
321,7.0,7.0,304.0,5.0,2741.0,272.0
322,1.0,1.0,184.0,1.0,1626.0,1278.0
323,1.0,1.0,55.0,1.0,152.0,494.0
324,1.0,1.0,377.0,1.0,731.0,460.0
325,1.0,1.0,92.0,1.0,764.0,293.0
326,1.0,1.0,1086.0,1.0,1454.0,711.0
327,1.0,1.0,35.0,5.0,91.0,647.0
328,1.0,1.0,25.0,1.0,12.0,340.0
329,1.0,1.0,4507.0,1.0,3073.0,797.0
330,1.0,1.0,468.0,1.0,1496.0,493.0
331,1.0,1.0,1140.0,1.0,2622.0,1265.0
332,1.0,1.0,200.0,1.0,756.0,281.0
333,1.0,1.0,76.0,1.0,1935.0,367.0
334,1.0,1.0,22.0,1.0,140.0,248.0
335,5.0,2.0,427.0,1.0,675.0,640.0
